Group,Drill,FirstID,AssetDir,FirstMonth,Spec,HasTimer,Cues,Avoid
Standing,Banded Pull-Aparts,m4-tue-bpa,banded-pull-aparts,4,3 × 12,no,"Light band, arms straight · Pull band apart at chest height · Squeeze blades together",Bending elbows.
Standing,Banded Shoulder Dislocates,m4-tue-bsd,banded-shoulder-dislocates,4,3 × 10,no,"Wide band grip, arms straight · Front to behind butt",Bending elbows.
Standing,Goblet Squat,m4-mon-gs,goblet-squat,4,3 × 8,no,Hold DB at chest · Sit back and down · Drive through heels,Knees caving.
Standing,Jefferson Curl,m4-wed-jc,jefferson-curl,4,3 × 5,no,"Stand on box, very light DB · Roll down vertebra by vertebra · Roll back up segment by segment",Using too much weight. 5 lb is plenty.
Standing,Shoulder Dislocates,m4-fri-sd,shoulder-dislocates,4,10,no,"Wide grip, arms straight",Bending elbows.
Standing,ATG Split Squat,m5-mon-atg,atg-split-squat,5,3 × 6 each,no,"Long lunge, front knee tracks far over toes · Heel stays flat · Build depth over weeks","Heel lifting. Sit deeper, not further."
Standing,Loaded Shoulder Dislocates,m5-tue-lsd,loaded-shoulder-dislocates,5,3 × 10,no,"Light bar or weighted band · Slow, arms straight",Speed.
Standing,Weighted Cossack Squat,m5-mon-wcs,weighted-cossack-squat,5,3 × 6 each,no,"Goblet hold light DB · Sit fully one side, heels flat · Pause 1 sec",Weight pulling forward.
Wall,Doorway Chest Stretch,m1-tue-dw,doorway-chest-stretch,1,3 × 30s each,yes,"Forearm on doorframe, shoulder height · Step opposite foot forward · Rotate body away gently",Forcing into a pinch.
Wall,Wall Scapular Slides,m1-tue-ws,wall-scapular-slides,1,3 × 10,no,"Slow, controlled · Drive blades DOWN at bottom · Wall contact whole time",Shrugging at the top.
Wall,Wall Slides,m1-ws,wall-slides,1,10 reps,no,"Back to wall, arms goal-post · Slide up overhead · Only as high as you can without arching",Lower back peeling off wall.
Wall,Banded Wall Slides,m4-bws,banded-wall-slides,4,12 reps,no,Resistance band around wrists · Pull outward against band · Slide up overhead,Letting band slacken.
Hanging,Dead Hang,m3-tue-dh,dead-hang,3,3 × 15s,yes,"Hang from a pull-up bar · Arms straight, relax · Build up time gradually",Grip failing — drop down.
Hanging,Scapula Pull-Ups,m5-tue-sp,scapula-pull-ups,5,3 × 8,no,"Dead hang, arms straight · Pull blades down and back · Body rises an inch",Bending elbows.
Hanging,German Hang,m6-tue-gh,german-hang,6,3 × 30s,yes,"Invert through, lower feet behind · Hold the passive stretch · Build gradually",Pushing past pinch.
Hanging,Skin-the-Cats,m6-tue-stc,skin-the-cats,6,3 × 5,no,"Hang, tuck knees, invert through · Lower toes behind, return through",Going too fast — control both directions.
CARs,Neck Circles,m1-neck,neck-circles,1,5 each way,no,"Sit/stand tall, shoulders relaxed · Slow chin circle · Feel every degree",Fast or jerky movement.
CARs,Neck + Shoulder CARs,m2-cars,neck-shoulder-cars,2,5 each joint,no,"Neck circle 5 each way · Then shoulder rolls 5 each way · Smooth, controlled",Speeding up.
CARs,Full Joint CARs,m3-cars,full-joint-cars,3,5 each,no,"Neck, shoulders, hips, ankles · 5 each direction",Skipping joints.
CARs,Full Body CARs,m5-cars,full-body-cars,5,5 each,no,"Hit every joint · Slow, end range",Rushing.
CARs,Neck CARs,m6-neck,neck-cars,6,5 each,no,Slow chin circle,Speed.
Inverted,Downward Dog,m3-fri-dd,downward-dog,3,30 sec,yes,Push hips up and back · Bend knees if hamstrings tight · Heels reach toward floor,Forcing straight legs.
